age,height,weight,BMI,sprint_score,endurance_score,jump_score,overall_score,event,category
19,178,59,18.6,75,86,82,81.0,400m,Advanced
19,168,67,23.7,96,66,89,83.7,100m,Advanced
17,181,71,21.7,83,74,95,84.0,Long Jump,Advanced
18,180,55,17.0,93,71,98,87.3,Long Jump,Elite
20,176,64,20.7,61,90,58,69.7,800m,Intermediate
22,180,74,22.8,77,98,68,81.0,800m,Advanced
22,170,62,21.5,92,72,88,84.0,100m,Advanced
20,177,59,18.8,86,69,83,79.3,100m,Advanced
22,182,69,20.8,98,62,92,84.0,200m,Advanced
21,168,57,20.2,94,79,96,89.7,Long Jump,Elite
21,171,70,23.9,71,95,68,78.0,800m,Advanced
19,166,65,23.6,85,75,89,83.0,100m,Advanced
18,173,60,20.0,73,93,72,79.3,800m,Advanced
19,180,59,18.2,70,90,64,74.7,800m,Intermediate
20,166,64,23.2,74,74,84,77.3,400m,Advanced
18,175,63,20.6,89,70,90,83.0,Long Jump,Advanced
18,176,62,20.0,75,96,61,77.3,800m,Advanced
19,170,62,21.5,94,68,88,83.3,Long Jump,Advanced
22,168,72,25.5,90,63,95,82.7,200m,Advanced
19,173,71,23.7,77,86,80,81.0,400m,Advanced
18,174,57,18.8,89,60,94,81.0,200m,Advanced
18,171,56,19.2,70,85,64,73.0,800m,Intermediate
20,171,69,23.6,94,71,82,82.3,200m,Advanced
18,166,59,21.4,91,80,95,88.7,Long Jump,Elite
17,175,63,20.6,90,69,82,80.3,200m,Advanced
18,170,65,22.5,82,77,86,81.7,200m,Advanced
20,178,65,20.5,83,78,88,83.0,Long Jump,Advanced
21,171,63,21.5,95,81,93,89.7,Long Jump,Elite
22,165,56,20.6,83,71,78,77.3,200m,Advanced
21,166,75,27.2,84,78,88,83.3,200m,Advanced
21,173,72,24.1,77,85,78,80.0,400m,Advanced
18,182,69,20.8,74,84,72,76.7,800m,Advanced
17,176,67,21.6,95,79,78,84.0,200m,Advanced
18,168,67,23.7,68,93,74,78.3,800m,Advanced
18,178,65,20.5,66,91,67,74.7,800m,Intermediate
19,168,56,19.8,94,65,82,80.3,200m,Advanced
17,176,68,22.0,82,81,88,83.7,Long Jump,Advanced
19,182,76,22.9,80,82,76,79.3,400m,Advanced
21,178,61,19.3,81,76,97,84.7,Long Jump,Advanced
17,169,62,21.7,80,73,82,78.3,400m,Advanced
17,175,74,24.2,93,80,90,87.7,Long Jump,Elite
18,177,68,21.7,89,69,92,83.3,Long Jump,Advanced
20,174,55,18.2,89,75,73,79.0,400m,Advanced
21,178,59,18.6,90,70,90,83.3,200m,Advanced
18,170,58,20.1,85,75,88,82.7,200m,Advanced
18,178,58,18.3,85,80,84,83.0,200m,Advanced
21,165,65,23.9,89,73,81,81.0,400m,Advanced
19,170,70,24.2,86,73,78,79.0,100m,Advanced
17,180,66,20.4,78,86,64,76.0,800m,Advanced
22,167,66,23.7,82,73,74,76.3,400m,Advanced
19,168,70,24.8,75,93,74,80.7,800m,Advanced
22,168,74,26.2,83,81,83,82.3,100m,Advanced
20,173,56,18.7,71,87,68,75.3,800m,Advanced
22,181,64,19.5,81,73,96,83.3,Long Jump,Advanced
20,182,57,17.2,90,83,97,90.0,Long Jump,Elite
19,177,56,17.9,89,82,86,85.7,200m,Elite
18,173,68,22.7,83,82,89,84.7,100m,Advanced
22,178,67,21.1,74,84,85,81.0,400m,Advanced
22,177,63,20.1,90,79,93,87.3,200m,Elite
17,177,70,22.3,85,72,73,76.7,400m,Advanced
21,165,71,26.1,88,73,78,79.7,100m,Advanced
19,177,55,17.6,98,73,84,85.0,200m,Elite
19,175,75,24.5,78,77,84,79.7,400m,Advanced
18,181,56,17.1,93,83,94,90.0,Long Jump,Elite
20,168,73,25.9,66,94,58,72.7,800m,Intermediate
17,173,67,22.4,83,81,90,84.7,100m,Advanced
19,182,71,21.4,74,74,83,77.0,400m,Advanced
19,180,69,21.3,96,60,92,82.7,100m,Advanced
18,180,71,21.9,93,81,94,89.3,100m,Elite
19,181,70,21.4,74,98,74,82.0,800m,Advanced
21,166,65,23.6,83,64,91,79.3,100m,Advanced
17,175,66,21.6,89,71,90,83.3,Long Jump,Advanced
18,174,61,20.1,90,84,92,88.7,Long Jump,Elite
21,169,56,19.6,94,75,80,83.0,200m,Advanced
17,179,63,19.7,82,81,79,80.7,100m,Advanced
17,172,69,23.3,94,68,85,82.3,200m,Advanced
18,171,76,26.0,74,80,77,77.0,400m,Advanced
22,173,73,24.4,60,85,74,73.0,800m,Intermediate
21,170,75,26.0,97,74,87,86.0,200m,Elite
20,182,57,17.2,93,66,95,84.7,100m,Advanced
22,174,73,24.1,89,84,75,82.7,400m,Advanced
22,169,75,26.3,80,83,88,83.7,Long Jump,Advanced
17,178,57,18.0,93,85,92,90.0,Long Jump,Elite
17,182,73,22.0,85,64,86,78.3,200m,Advanced
22,168,76,26.9,86,60,86,77.3,100m,Advanced
18,178,71,22.4,62,87,71,73.3,800m,Intermediate
20,168,55,19.5,62,98,64,74.7,800m,Intermediate
21,171,69,23.6,95,67,85,82.3,200m,Advanced
18,167,72,25.8,85,81,90,85.3,Long Jump,Elite
19,177,65,20.7,94,77,93,88.0,200m,Elite
22,170,60,20.8,87,67,93,82.3,200m,Advanced
18,167,61,21.9,82,75,89,82.0,100m,Advanced
19,169,59,20.7,84,64,93,80.3,200m,Advanced
20,166,70,25.4,96,82,88,88.7,200m,Elite
18,168,56,19.8,86,72,81,79.7,400m,Advanced
20,168,60,21.3,82,82,98,87.3,Long Jump,Elite
17,180,59,18.2,82,82,70,78.0,400m,Advanced
18,177,59,18.8,81,73,75,76.3,400m,Advanced
18,174,70,23.1,97,67,92,85.3,200m,Elite
17,167,56,20.1,87,75,75,79.0,400m,Advanced
18,174,58,19.2,65,84,75,74.7,800m,Intermediate
20,182,64,19.3,76,91,59,75.3,800m,Advanced
19,170,71,24.6,86,67,79,77.3,200m,Advanced
17,173,57,19.0,67,91,74,77.3,800m,Advanced
20,170,58,20.1,68,93,73,78.0,800m,Advanced
22,179,55,17.2,95,71,81,82.3,100m,Advanced
17,175,71,23.2,85,83,91,86.3,Long Jump,Elite
17,173,61,20.4,72,87,58,72.3,800m,Intermediate
20,176,56,18.1,64,96,69,76.3,800m,Advanced
20,181,61,18.6,97,72,84,84.3,100m,Advanced
21,180,76,23.5,86,81,87,84.7,200m,Advanced
22,166,64,23.2,72,88,62,74.0,800m,Intermediate
21,182,73,22.0,77,89,74,80.0,800m,Advanced
17,172,72,24.3,91,61,82,78.0,100m,Advanced
20,169,72,25.2,78,86,61,75.0,800m,Advanced
19,175,59,19.3,77,85,58,73.3,800m,Intermediate
21,169,58,20.3,92,82,87,87.0,100m,Elite
17,176,75,24.2,88,77,87,84.0,100m,Advanced
18,173,73,24.4,76,91,71,79.3,800m,Advanced
20,165,68,25.0,91,75,83,83.0,100m,Advanced
22,172,58,19.6,84,71,91,82.0,100m,Advanced
21,181,72,22.0,72,90,73,78.3,800m,Advanced
20,172,76,25.7,90,77,98,88.3,Long Jump,Elite
20,179,65,20.3,86,69,92,82.3,200m,Advanced
19,175,60,19.6,76,87,65,76.0,800m,Advanced
22,172,59,19.9,96,64,95,85.0,100m,Elite
20,182,69,20.8,69,85,62,72.0,800m,Intermediate
18,180,56,17.3,68,98,60,75.3,800m,Advanced
22,169,74,25.9,84,66,87,79.0,100m,Advanced
20,168,69,24.4,68,94,63,75.0,800m,Advanced
17,180,63,19.4,83,81,76,80.0,400m,Advanced
19,175,57,18.6,89,75,76,80.0,400m,Advanced
17,171,76,26.0,78,96,67,80.3,800m,Advanced
19,182,63,19.0,78,85,79,80.7,400m,Advanced
18,179,56,17.5,62,91,64,72.3,800m,Intermediate
19,179,72,22.5,91,80,96,89.0,Long Jump,Elite
20,177,64,20.4,95,77,87,86.3,100m,Elite
17,173,65,21.7,82,82,83,82.3,200m,Advanced
19,179,72,22.5,87,79,73,79.7,400m,Advanced
20,174,73,24.1,82,74,78,78.0,400m,Advanced
22,169,63,22.1,91,80,94,88.3,Long Jump,Elite
22,169,74,25.9,89,74,78,80.3,100m,Advanced
21,175,62,20.2,84,78,81,81.0,100m,Advanced
17,181,68,20.8,75,85,72,77.3,800m,Advanced
19,173,68,22.7,86,84,77,82.3,400m,Advanced
17,179,63,19.7,95,61,83,79.7,200m,Advanced
19,165,75,27.5,90,81,82,84.3,400m,Advanced
22,168,58,20.5,80,70,98,82.7,Long Jump,Advanced
22,175,70,22.9,78,98,69,81.7,800m,Advanced
19,175,65,21.2,92,69,81,80.7,100m,Advanced
21,166,70,25.4,86,75,92,84.3,Long Jump,Advanced
22,181,65,19.8,61,98,63,74.0,800m,Intermediate
21,173,75,25.1,84,60,85,76.3,100m,Advanced
18,180,74,22.8,62,90,59,70.3,800m,Intermediate
22,173,72,24.1,81,85,92,86.0,Long Jump,Elite
19,178,67,21.1,95,77,94,88.7,200m,Elite
18,175,58,18.9,82,80,91,84.3,Long Jump,Advanced
20,179,76,23.7,83,67,86,78.7,100m,Advanced
22,172,67,22.6,75,94,70,79.7,800m,Advanced
21,167,63,22.6,64,90,62,72.0,800m,Intermediate
19,171,62,21.2,89,79,92,86.7,Long Jump,Elite
22,170,62,21.5,95,62,91,82.7,100m,Advanced
17,180,75,23.1,83,70,86,79.7,200m,Advanced
19,169,68,23.8,73,91,67,77.0,800m,Advanced
17,176,58,18.7,89,65,85,79.7,100m,Advanced
22,181,63,19.2,88,79,77,81.3,400m,Advanced
22,178,67,21.1,87,73,81,80.3,200m,Advanced
22,171,58,19.8,98,68,88,84.7,100m,Advanced
19,167,74,26.5,90,67,82,79.7,100m,Advanced
19,178,60,18.9,88,72,98,86.0,Long Jump,Elite
22,166,63,22.9,86,69,88,81.0,200m,Advanced
18,178,74,23.4,89,76,72,79.0,400m,Advanced
19,167,71,25.5,89,60,82,77.0,100m,Advanced
22,168,68,24.1,80,85,97,87.3,Long Jump,Elite
21,171,69,23.6,84,79,96,86.3,Long Jump,Elite
17,181,56,17.1,92,71,93,85.3,200m,Elite
18,175,74,24.2,83,65,84,77.3,100m,Advanced
22,172,62,21.0,77,76,81,78.0,400m,Advanced
18,167,73,26.2,87,78,77,80.7,400m,Advanced
18,182,66,19.9,91,84,92,89.0,Long Jump,Elite
19,166,73,26.5,82,68,89,79.7,Long Jump,Advanced
21,182,67,20.2,79,79,83,80.3,400m,Advanced
22,169,72,25.2,76,97,64,79.0,800m,Advanced
19,171,65,22.2,87,69,90,82.0,100m,Advanced
19,172,76,25.7,78,85,59,74.0,800m,Intermediate
19,165,68,25.0,92,77,89,86.0,200m,Elite
21,180,73,22.5,93,71,95,86.3,Long Jump,Elite
21,177,59,18.8,83,81,92,85.3,Long Jump,Elite
19,178,57,18.0,96,80,81,85.7,100m,Elite
20,170,59,20.4,78,78,79,78.3,400m,Advanced
19,167,61,21.9,77,96,65,79.3,800m,Advanced
18,165,62,22.8,77,94,62,77.7,800m,Advanced
20,175,69,22.5,89,77,95,87.0,Long Jump,Elite
22,168,63,22.3,89,79,93,87.0,Long Jump,Elite
21,165,72,26.4,89,65,79,77.7,200m,Advanced
19,167,64,22.9,98,69,78,81.7,100m,Advanced
19,174,70,23.1,79,80,73,77.3,400m,Advanced
19,165,63,23.1,77,80,82,79.7,400m,Advanced
20,172,74,25.0,81,82,85,82.7,400m,Advanced
18,170,70,24.2,90,79,85,84.7,400m,Advanced
